directors,popularity,stars,title,writer
Martin Scorses,100,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",The Wolf of Wall Street,Terence Winter
Martin Scorses,652,"Robert De Niro,Sharon Stone,Joe Pesci",Casino,"Nicholas Pileggi,Nicholas Pileggi"
Hayao Miyazak,"1,119","Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",My Neighbor Totoro,
Hayao Miyazak,324,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",Howl's Moving Castle,Hayao Miyazaki
Akira Kurosaw,"2,585","Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",Ran,"Akira Kurosawa,Hideo Oguni"
Majid Majid,,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",Children of Heaven,
Elem Klimo,,"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",Come and See,"Ales Adamovich,Ales Adamovich"
Clint Eastwoo,744,"Clint Eastwood,Gene Hackman,Morgan Freeman",Unforgiven,
Akira Kurosaw,,,Yojimbo,
John McTierna,491,"Bruce Willis,Alan Rickman,Bonnie Bedelia",Die Hard,"Roderick Thorp,Jeb Stuart"
Christopher Nola,404,"Christian Bale,Michael Caine,Ken Watanabe",Batman Begins,"Bob Kane,David S. Goyer"
Akira Kurosaw,"2,905",,Rashomon,
Peter Farrell,99,"Viggo Mortensen,Mahershala Ali,Linda Cardellini",Green Book,"Nick Vallelonga,Brian Hayes Currie"
Michael Man,421,"Al Pacino,Robert De Niro,Val Kilmer",Heat,
Curtis Hanso,904,"Kevin Spacey,Russell Crowe,Guy Pearce",L.A. Confidential,"James Ellroy,Brian Helgeland"
Terry Gillia,881,"Graham Chapman,John Cleese,Eric Idle",Monty Python and the Holy Grail,"Graham Chapman,John Cleese"
Steven Spielber,98,"Harrison Ford,Sean Connery,Alison Doody",Indiana Jones and the Last Crusade,"Jeffrey Boam,George Lucas"
Denis Villeneuv,548,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",Incendies,"Denis Villeneuve,Wajdi Mouawad"
Pete Docte,753,"Edward Asner,Jordan Nagai,John Ratzenberger",Up,"Pete Docter,Bob Peterson"
Billy Wilde,"1,987","Jack Lemmon,Shirley MacLaine,Fred MacMurray",The Apartment,Billy Wilder
Robert Mulliga,"1,848","Gregory Peck,John Megna,Frank Overton",To Kill a Mockingbird,Harper Lee
Asghar Farhad,"1,817","Payman Maadi,Leila Hatami,Sareh Bayat",A Separation,
Billy Wilde,"3,504","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",Double Indemnity,"Billy Wilder,Raymond Chandler"
Sergio Leon,"2,109","Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",For a Few Dollars More,"Sergio Leone,Fulvio Morsella"
Fritz Lan,958,"Brigitte Helm,Alfred Abel,Gustav Fröhlich",Metropolis,Thea von Harbou
Akira Kurosaw,,,Ikiru,
George Roy Hil,"1,376","Paul Newman,Robert Redford,Robert Shaw",The Sting,
Lee Unkric,988,"Tom Hanks,Tim Allen,Joan Cusack",Toy Story 3,"John Lasseter,Andrew Stanton"
David Lea,849,"Peter O'Toole,Alec Guinness,Anthony Quinn",Lawrence of Arabia,"T.E. Lawrence,Robert Bolt"
Brian De Palm,317,"Al Pacino,Michelle Pfeiffer,Steven Bauer",Scarface,
Jean-Pierre Jeune,709,"Audrey Tautou,Mathieu Kassovitz,Rufus",Amélie,"Guillaume Laurant,Jean-Pierre Jeunet"
Martin Scorses,191,"Robert De Niro,Jodie Foster,Cybill Shepherd",Taxi Driver,
Stanley Done,671,"Gene Kelly,Donald O'Connor,Debbie Reynolds",Singin' in the Rain,Betty Comden
Vittorio De Sic,,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell",Bicycle Thieves,"Cesare Zavattini,Luigi Bartolini"
Guy Ritchi,280,"Jason Statham,Brad Pitt,Benicio Del Toro",Snatch,
Stanley Kubric,439,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",Full Metal Jacket,"Stanley Kubrick,Michael Herr"
Stanley Kubric,443,"Malcolm McDowell,Patrick Magee,Michael Bates",A Clockwork Orange,Stanley Kubrick
Alfred Hitchcoc,743,"Cary Grant,Eva Marie Saint,James Mason",North by Northwest,
Thomas Vinterber,631,"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",The Hunt,Tobias Lindholm
Orson Welle,"1,230","Orson Welles,Joseph Cotten,Dorothy Comingore",Citizen Kane,Herman J. Mankiewicz
Nadine Labak,467,"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",Capernaum,"Nadine Labaki,Jihad Hojeily"
Nitesh Tiwar,,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",Dangal,"Piyush Gupta,Shreyas Jain"
Michel Gondr,297,"Jim Carrey,Kate Winslet,Tom Wilkinson",Eternal Sunshine of the Spotless Mind,"Charlie Kaufman,Michel Gondry"
Darren Aronofsk,222,"Ellen Burstyn,Jared Leto,Jennifer Connelly",Requiem for a Dream,"Hubert Selby Jr.,Hubert Selby Jr."
Alfred Hitchcoc,848,"James Stewart,Kim Novak,Barbara Bel Geddes",Vertigo,"Alec Coppel,Samuel A. Taylor"
Gus Van San,198,"Robin Williams,Matt Damon,Ben Affleck",Good Will Hunting,Matt Damon
Stanley Kubric,523,"Keir Dullea,Gary Lockwood,William Sylvester",2001: A Space Odyssey,Stanley Kubrick
Quentin Tarantin,110,"Brad Pitt,Diane Kruger,Eli Roth",Inglourious Basterds,
Fritz Lan,,,M,
Quentin Tarantin,468,"Harvey Keitel,Tim Roth,Michael Madsen",Reservoir Dogs,"Quentin Tarantino,Quentin Tarantino"
Milos Forma,930,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge",Amadeus,Peter Shaffer
Aamir Kha,,"Darsheel Safary,Aamir Khan,Tisca Chopra",Taare Zameen Par,Amole Gupte
John Lassete,541,"Tom Hanks,Tim Allen,Don Rickles",Toy Story,"John Lasseter,Pete Docter"
Akira Kurosaw,,,High and Low,
Richard Marquan,521,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode VI - Return of the Jedi,"Lawrence Kasdan,George Lucas"
Rajkumar Hiran,799,"Aamir Khan,Madhavan,Mona Singh",3 Idiots,"Rajkumar Hirani,Abhijat Joshi"
Wolfgang Peterse,"1,650","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",Das Boot,Wolfgang Petersen
Mel Gibso,349,"Mel Gibson,Sophie Marceau,Patrick McGoohan",Braveheart,
Sam Mende,13,"Dean-Charles Chapman,George MacKay,Daniel Mays",1917,Sam Mendes
